source_id,year,title,authors,venue,publication_type,review_status,url,cluster,method_family,normal_only_asd,signal_level_transformation,evaluates_asd_metrics,evaluates_known_component_safety,reports_reference_contamination,result_direction,key_finding,audit_relationship
dcase2026_task,2026,DCASE 2026 Task 2: Noise-aware Unsupervised Anomalous Sound Detection for Machine Condition Monitoring,DCASE 2026 Task 2 organizers,DCASE 2026 Challenge,benchmark_specification,official_specification,https://dcase.community/challenge2026/task-first-shot-unsupervised-anomalous-sound-detection-for-machine-condition-monitoring,task_context,benchmark_definition,True,False,True,False,True,context,"Defines synchronized near/far recordings, normal-only training, unseen evaluation machines, and AUC/pAUC evaluation.",Fixes the benchmark scope and prevents claims beyond the development machine types or official metric protocol.
nishida2026_task_description,2026,Description and Discussion on DCASE 2026 Challenge Task 2: Noise-aware Unsupervised Anomalous Sound Detection for Machine Condition Monitoring,Tomoya Nishida; Noboru Harada; Daiki Takeuchi; Daisuke Niizumi; Keisuke Imoto; Kota Dohi; Harsh Purohit; Takashi Endo; Yohei Kawaguchi,arXiv,arxiv_preprint,not_peer_reviewed,https://arxiv.org/abs/2606.01578,task_context,benchmark_definition,True,False,True,False,True,context,Motivates the far microphone as relatively noise-dominant rather than an observed clean noise reference.,Supports treating reference purity as an empirical question and not as a benchmark guarantee.
dcase2026_submission_policy,2026,DCASE 2026 Challenge Submission and Technical Report Policy,DCASE 2026 organizers,DCASE 2026 Challenge,benchmark_specification,official_specification,https://dcase.community/challenge2026/submission,task_context,benchmark_definition,False,False,False,False,False,context,Officially states that challenge technical reports are not peer reviewed and distinguishes them from workshop papers.,Controls evidence labeling so current challenge reports are not misrepresented as peer-reviewed publications.
fujimura2026_na_ssl,2026,Anomalous Sound Detection Meets Noise-Aware Self-Supervised Learning,Takuya Fujimura; Gordon Wichern; Yoshiki Masuyama; Christoph Boeddeker; Kohei Saijo; Julius Richter; Takahiro Edo; Jonathan Le Roux,arXiv,arxiv_preprint,not_peer_reviewed,https://arxiv.org/abs/2608.00447,direct_asd,learned_dual_channel_representation,True,False,True,False,True,benefit,Simulated dual-channel pretraining improves several SSL frontends and the reported NA-BEATs system won DCASE 2026 Task 2.,A decisive counterexample to any claim that dual-microphone information or contaminated references are generally ineffective for ASD.
kim2026_reference_denoising,2026,Noise-Aware Reference Denoising for First-Shot Anomalous Sound Detection,Nam Kyun Kim,DCASE 2026 Challenge technical report,challenge_technical_report,not_peer_reviewed,https://dcase.community/documents/challenge2026/technical_reports/DCASE2026_Kim_91_t2.pdf,direct_asd,deterministic_signal_subtraction,True,True,True,False,True,benefit,Minimum-statistics noise transfer plus floored spectral subtraction improves reported development performance while limiting aggressive subtraction.,Closest direct prior; it evaluates ASD scores but not separate known-component fault retention and noise attenuation.
morita2026_stereo_spatial,2026,Memory Bank-Based Unsupervised Anomalous Sound Detection Exploiting Stereo Spatial Information,Ryo Morita; Ryoya Kozai; Shota Sekino; Yusuke Kishi,DCASE 2026 Challenge technical report,challenge_technical_report,not_peer_reviewed,https://dcase.community/documents/challenge2026/technical_reports/DCASE2026_Morita_50_t2.pdf,direct_asd,spatial_masking,True,True,True,False,True,mixed,"A coherence-weighted signal route and spatial descriptors provide reported gains, while globally low coherence limits the mask effect.",Shows spatial processing can help while also exposing weak observability; no component-level fault-preservation endpoint is reported.
ozeki2026_simple_noise_reduction,2026,Anomalous Sound Detection Method with Simple Noise Reduction,Kosei Ozeki; Takeru Shiraga; Hideaki Terashima; Nobuaki Tanaka; Takahiko Masuzaki,DCASE 2026 Challenge technical report,challenge_technical_report,not_peer_reviewed,https://dcase.community/documents/challenge2026/technical_reports/DCASE2026_Ozeki_101_t2.pdf,direct_asd,deterministic_signal_subtraction,True,True,True,False,False,benefit,Uses the far channel as a noise reference and a linear filter to cancel near-channel noise before several ASD backends.,A close deterministic comparator whose noise-reference assumption is precisely what the controlled safety audit tests.
qian2026_spectral_subtraction,2026,Anomalous Sound Detection System for DCASE 2026 Task 2 Using Dual-Channel Spectral Subtraction and Efficient Audio Transformer,Fan Chu; Mengui Qian,DCASE 2026 Challenge technical report,challenge_technical_report,not_peer_reviewed,https://dcase.community/documents/challenge2026/technical_reports/DCASE2026_Qian_65_t2.pdf,direct_asd,deterministic_signal_subtraction,True,True,True,False,False,benefit,Applies far-reference spectral subtraction before a fine-tuned Efficient Audio Transformer and k-nearest-neighbor anomaly scoring.,Confirms practical interest in the exact frontend family while reporting task metrics rather than known-component fault retention.
kim2026_residual_view,2026,Residual View and Prototype Selection for Noise-Aware Anomalous Sound Detection,JeongSik Kim; JongWoo Sung; HyeonJun Bae; BoRyeon Kim; JiAn Lee,DCASE 2026 Challenge technical report,challenge_technical_report,not_peer_reviewed,https://dcase.community/documents/challenge2026/technical_reports/DCASE2026_Kim_27_t2.pdf,direct_asd,embedding_residual,True,False,True,False,True,benefit,Scaled far-channel subtraction in a pretrained embedding space improves the reported development score for selected encoders and layers.,Bounds the audit to signal-level deterministic cancellation; embedding residuals and representation selection remain viable alternatives.
lei2026_task_adapted_dual_mic,2026,Task-Adapted Dual-Microphone Representations with Domain-Conditioned Local-Density Fusion,Jialong Lei,DCASE 2026 Challenge technical report,challenge_technical_report,not_peer_reviewed,https://dcase.community/documents/challenge2026/technical_reports/DCASE2026_Lei_23_t2.pdf,direct_asd,learned_dual_channel_representation,True,False,True,False,True,benefit,Treats the far channel as a mixed observation and uses task-adapted dual-microphone representations rather than direct subtraction.,"Independently recognizes the fault-suppression risk but addresses it through learned representation and calibration, not a known-component safety audit."
alkindi1989_signal_leakage,1989,Improved Adaptive Noise Cancellation in the Presence of Signal Leakage on the Noise Reference Channel,M. J. Al-Kindi; J. Dunlop,Signal Processing,journal_article,peer_reviewed,https://doi.org/10.1016/0165-1684(89)90005-4,adjacent_signal_processing,adaptive_cancellation,False,True,False,False,True,risk_mitigation,Cross-coupled adaptive cancellers address desired-signal leakage in a noise reference and can limit distortion under stated conditions.,Establishes that contaminated-reference cancellation is old prior art; novelty must lie in the ASD-specific frozen safety evaluation.
xiao2024_target_delay_anc,2024,Effect of Target Signals and Delays on Spatially Selective Active Noise Control for Open-Fitting Hearables,Tong Xiao; Simon Doclo,ICASSP 2024,conference_paper,peer_reviewed,https://doi.org/10.1109/ICASSP48485.2024.10445843,adjacent_signal_processing,active_noise_control,False,True,False,True,True,risk_mitigation,"Target definition and causal delay change the trade-off among desired-signal quality, noise reduction, and control effort.",Provides component-aware evaluation precedent outside ASD and motivates reporting preservation jointly with attenuation.
zhao2025_aux_reference_aec,2025,Why Not Put a Microphone Near the Loudspeaker? A New Paradigm for Acoustic Echo Cancellation,Fei Zhao; Zhong-Qiu Wang,arXiv,arxiv_preprint,not_peer_reviewed,https://arxiv.org/abs/2511.03244,adjacent_signal_processing,learned_reference_purification,False,True,False,False,True,benefit,A learned Wiener-mask module purifies an auxiliary reference contaminated by near-end speech before linear echo cancellation.,Shows that learned purification with task supervision can handle contamination and is outside the deterministic normal-only audit claim.
